state,year,value,var,industry_group
base,2017,109.23,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2018,110.8504,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2019,110.6472,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2020,115.3527,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2021,103.7903,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2022,104.6075,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2023,107.1133,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2024,110.2103,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2025,110.7036,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2026,113.9738,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2027,116.4795,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2028,119.0123,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2029,121.4924,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2030,123.929,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2031,126.3302,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,128.703,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,131.0524,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,133.3816,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,135.6944,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2036,137.9935,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2037,140.2819,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2038,142.5654,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2039,144.8459,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2040,147.1246,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2041,149.4026,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2042,151.681,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2043,153.9604,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2044,156.2416,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2045,158.5257,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2046,160.8134,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2047,163.1059,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2048,165.4046,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2049,167.7115,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2050,170.0279,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2051,172.3557,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2017,26.4872,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2018,26.6347,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2019,26.339,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2020,28.1124,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2021,25.4013,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2022,25.3632,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2023,25.9132,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2024,26.6744,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2025,26.4713,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2026,27.2434,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2027,27.7723,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2028,28.3167,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2029,28.8485,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2030,29.3704,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2031,29.8838,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,30.3899,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,30.8898,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,31.3837,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,31.8725,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2036,32.3566,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2037,32.8365,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2038,33.3135,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2039,33.7879,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2040,34.2599,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2041,34.7297,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
