var,state,year,value
New South Wales,base,2020,4020.0718
New South Wales,base,2021,3969.7511
New South Wales,base,2022,4051.2803
New South Wales,base,2023,4080.626
New South Wales,base,2024,4170.0511
New South Wales,base,2025,4252.4632
New South Wales,base,2026,4342.212
New South Wales,base,2027,4418.1264
New South Wales,base,2028,4496.3658
New South Wales,base,2029,4574.8232
New South Wales,base,2030,4653.3889
New South Wales,base,2031,4731.999
New South Wales,base,2032,4810.618
New South Wales,base,2033,4889.2078
New South Wales,base,2034,4967.7273
New South Wales,base,2035,5046.1713
New South Wales,base,2036,5124.5422
New South Wales,base,2037,5202.8602
New South Wales,base,2038,5281.2223
New South Wales,base,2039,5359.6519
New South Wales,base,2040,5438.1644
New South Wales,base,2041,5516.7768
New South Wales,base,2042,5595.5131
New South Wales,base,2043,5674.3884
New South Wales,base,2044,5753.4245
New South Wales,base,2045,5832.6503
New South Wales,base,2046,5912.092
New South Wales,base,2047,5991.7831
New South Wales,base,2048,6071.7718
New South Wales,base,2049,6152.1087
New South Wales,base,2050,6232.8413
Victoria,base,2020,3284.2216
Victoria,base,2021,3220.6016
Victoria,base,2022,3285.1725
Victoria,base,2023,3313.7524
Victoria,base,2024,3388.4526
Victoria,base,2025,3467.2315
Victoria,base,2026,3540.8823
Victoria,base,2027,3607.1321
Victoria,base,2028,3674.8387
Victoria,base,2029,3742.8569
Victoria,base,2030,3811.0512
Victoria,base,2031,3879.378
Victoria,base,2032,3947.8113
Victoria,base,2033,4016.3258
Victoria,base,2034,4084.8942
Victoria,base,2035,4153.5145
Victoria,base,2036,4222.1914
Victoria,base,2037,4290.9434
Victoria,base,2038,4359.8573
Victoria,base,2039,4428.952
Victoria,base,2040,4498.2408
Victoria,base,2041,4567.738
Victoria,base,2042,4637.4638
Victoria,base,2043,4707.4299
Victoria,base,2044,4777.654
Victoria,base,2045,4848.1604
Victoria,base,2046,4918.97
Victoria,base,2047,4990.1103
Victoria,base,2048,5061.6219
Victoria,base,2049,5133.5486
Victoria,base,2050,5205.9316
Queensland,base,2020,2496.348
Queensland,base,2021,2454.7988
Queensland,base,2022,2475.4921
Queensland,base,2023,2499.9044
Queensland,base,2024,2545.058
Queensland,base,2025,2579.4243
Queensland,base,2026,2625.3309
Queensland,base,2027,2667.736
Queensland,base,2028,2710.8276
Queensland,base,2029,2753.9975
Queensland,base,2030,2797.107
Queensland,base,2031,2840.1086
Queensland,base,2032,2882.9679
Queensland,base,2033,2925.6559
Queensland,base,2034,2968.1427
Queensland,base,2035,3010.4196
Queensland,base,2036,3052.4826
Queensland,base,2037,3094.3386
Queensland,base,2038,3136.0403
Queensland,base,2039,3177.5987
Queensland,base,2040,3219.0194
Queensland,base,2041,3260.3096
Queensland,base,2042,3301.482
Queensland,base,2043,3342.5442
Queensland,base,2044,3383.5091
Queensland,base,2045,3424.3953
Queensland,base,2046,3465.2189
Queensland,base,2047,3506.0014
Queensland,base,2048,3546.7737
Queensland,base,2049,3587.5686
Queensland,base,2050,3628.4163
South Australia,base,2020,856.773
South Australia,base,2021,843.1981
South Australia,base,2022,852.2899
South Australia,base,2023,858.9398
South Australia,base,2024,870.3008
South Australia,base,2025,879.9827
South Australia,base,2026,894.4568
South Australia,base,2027,909.0839
South Australia,base,2028,923.9038
South Australia,base,2029,938.8757
South Australia,base,2030,953.9282
South Australia,base,2031,969.0397
South Australia,base,2032,984.193
South Australia,base,2033,999.374
South Australia,base,2034,1014.57
South Australia,base,2035,1029.775
South Australia,base,2036,1044.9862
South Australia,base,2037,1060.2055
South Australia,base,2038,1075.4497
South Australia,base,2039,1090.7221
South Australia,base,2040,1106.0246
South Australia,base,2041,1121.3597
South Australia,base,2042,1136.7318
South Australia,base,2043,1152.1436
South Australia,base,2044,1167.5994
South Australia,base,2045,1183.105
South Australia,base,2046,1198.6659
South Australia,base,2047,1214.2887
South Australia,base,2048,1229.9831
South Australia,base,2049,1245.7594
South Australia,base,2050,1261.6274
Western Australia,base,2020,1461.0005
Western Australia,base,2021,1409.2073
Western Australia,base,2022,1397.9875
Western Australia,base,2023,1435.3388
Western Australia,base,2024,1451.9843
Western Australia,base,2025,1498.8917
Western Australia,base,2026,1501.3968
Western Australia,base,2027,1529.2761
Western Australia,base,2028,1553.7807
Western Australia,base,2029,1578.7871
Western Australia,base,2030,1603.9019
Western Australia,base,2031,1629.1465
Western Australia,base,2032,1654.5155
Western Australia,base,2033,1680.0009
Western Australia,base,2034,1705.5936
Western Australia,base,2035,1731.294
Western Australia,base,2036,1757.1047
Western Australia,base,2037,1783.0318
Western Australia,base,2038,1809.1032
Western Australia,base,2039,1835.3277
Western Australia,base,2040,1861.7105
Western Australia,base,2041,1888.2579
Western Australia,base,2042,1914.9787
Western Australia,base,2043,1941.8793
Western Australia,base,2044,1968.9688
Western Australia,base,2045,1996.2584
Western Australia,base,2046,2023.7585
Western Australia,base,2047,2051.4825
Western Australia,base,2048,2079.4472
Western Australia,base,2049,2107.6708
Western Australia,base,2050,2136.1707
Tasmania,base,2020,250.9003
Tasmania,base,2021,242.9557
Tasmania,base,2022,245.4214
Tasmania,base,2023,247.8475
Tasmania,base,2024,250.3618
Tasmania,base,2025,253.4408
Tasmania,base,2026,257.1711
Tasmania,base,2027,261.3738
Tasmania,base,2028,265.5328
Tasmania,base,2029,269.7194
Tasmania,base,2030,273.9115
Tasmania,base,2031,278.1082
Tasmania,base,2032,282.3076
Tasmania,base,2033,286.5082
Tasmania,base,2034,290.7086
Tasmania,base,2035,294.9089
Tasmania,base,2036,299.1095
Tasmania,base,2037,303.3134
Tasmania,base,2038,307.5274
Tasmania,base,2039,311.7534
Tasmania,base,2040,315.9927
Tasmania,base,2041,320.2466
Tasmania,base,2042,324.5173
Tasmania,base,2043,328.806
Tasmania,base,2044,333.1147
Tasmania,base,2045,337.4461
Tasmania,base,2046,341.8025
Tasmania,base,2047,346.1866
Tasmania,base,2048,350.6023
Tasmania,base,2049,355.0535
Tasmania,base,2050,359.5438
Northern Territory,base,2020,168.3279
Northern Territory,base,2021,186.0033
Northern Territory,base,2022,182.4314
Northern Territory,base,2023,181.259
Northern Territory,base,2024,180.6379
Northern Territory,base,2025,178.7177
Northern Territory,base,2026,179.8547
Northern Territory,base,2027,181.2558
Northern Territory,base,2028,182.8038
Northern Territory,base,2029,184.4656
Northern Territory,base,2030,186.198
Northern Territory,base,2031,187.9432
Northern Territory,base,2032,189.6563
Northern Territory,base,2033,191.3589
Northern Territory,base,2034,193.0782
Northern Territory,base,2035,194.8179
Northern Territory,base,2036,196.5771
Northern Territory,base,2037,198.3549
Northern Territory,base,2038,200.1526
Northern Territory,base,2039,201.9701
Northern Territory,base,2040,203.8076
Northern Territory,base,2041,205.6652
Northern Territory,base,2042,207.5432
Northern Territory,base,2043,209.4418
Northern Territory,base,2044,211.3616
Northern Territory,base,2045,213.3034
Northern Territory,base,2046,215.2677
Northern Territory,base,2047,217.2555
Northern Territory,base,2048,219.2678
Northern Territory,base,2049,221.3059
Northern Territory,base,2050,223.3709
Australian Capital Territory,base,2020,250.883
Australian Capital Territory,base,2021,268.7629
Australian Capital Territory,base,2022,258.5145
Australian Capital Territory,base,2023,257.7195
Australian Capital Territory,base,2024,258.6416
Australian Capital Territory,base,2025,251.3437
Australian Capital Territory,base,2026,255.4604
Australian Capital Territory,base,2027,259.5687
Australian Capital Territory,base,2028,263.6856
Australian Capital Territory,base,2029,267.7989
