var,state,year,value,occupation_group
"Chief Executives, General Managers and Legislators",base,2020,122.4202,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2021,120.3148,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2022,121.948,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2023,123.1906,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2024,125.7515,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2025,128.3927,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2026,130.6572,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2027,132.9896,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2028,135.3262,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2029,137.6769,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2030,140.0318,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2031,142.3892,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,144.7475,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,147.1059,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,149.4638,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,151.821,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,154.1776,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,156.5342,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,158.8939,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,161.2574,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,163.6251,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,165.9974,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,168.3753,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,170.759,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,173.1492,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2045,175.547,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2046,177.9531,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2047,180.3686,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,182.795,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,185.2339,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,187.6868,O1 MANAGERS
Farmers and Farm Managers,base,2020,178.8048,O1 MANAGERS
Farmers and Farm Managers,base,2021,164.16,O1 MANAGERS
Farmers and Farm Managers,base,2022,166.3516,O1 MANAGERS
Farmers and Farm Managers,base,2023,168.911,O1 MANAGERS
Farmers and Farm Managers,base,2024,173.0954,O1 MANAGERS
Farmers and Farm Managers,base,2025,175.0382,O1 MANAGERS
Farmers and Farm Managers,base,2026,179.4885,O1 MANAGERS
Farmers and Farm Managers,base,2027,183.1321,O1 MANAGERS
Farmers and Farm Managers,base,2028,186.7805,O1 MANAGERS
Farmers and Farm Managers,base,2029,190.3621,O1 MANAGERS
Farmers and Farm Managers,base,2030,193.8861,O1 MANAGERS
Farmers and Farm Managers,base,2031,197.3642,O1 MANAGERS
Farmers and Farm Managers,base,2032,200.8057,O1 MANAGERS
Farmers and Farm Managers,base,2033,204.2172,O1 MANAGERS
Farmers and Farm Managers,base,2034,207.6031,O1 MANAGERS
Farmers and Farm Managers,base,2035,210.9681,O1 MANAGERS
Farmers and Farm Managers,base,2036,214.3162,O1 MANAGERS
Farmers and Farm Managers,base,2037,217.6514,O1 MANAGERS
Farmers and Farm Managers,base,2038,220.9821,O1 MANAGERS
Farmers and Farm Managers,base,2039,224.311,O1 MANAGERS
Farmers and Farm Managers,base,2040,227.6394,O1 MANAGERS
Farmers and Farm Managers,base,2041,230.9691,O1 MANAGERS
Farmers and Farm Managers,base,2042,234.3015,O1 MANAGERS
Farmers and Farm Managers,base,2043,237.6376,O1 MANAGERS
Farmers and Farm Managers,base,2044,240.9787,O1 MANAGERS
Farmers and Farm Managers,base,2045,244.3264,O1 MANAGERS
