var_code,var,year,sa4_code_2016,sa4_name_2016,base,zero
1 NearACTNSW,Region near ACT,2017,101,Capital Region,0.0412,0.045
1 NearACTNSW,Region near ACT,2018,101,Capital Region,0.0414,0.0408
1 NearACTNSW,Region near ACT,2019,101,Capital Region,0.0418,0.0402
1 NearACTNSW,Region near ACT,2020,101,Capital Region,0.045,0.0404
1 NearACTNSW,Region near ACT,2021,101,Capital Region,0.0418,0.0414
1 NearACTNSW,Region near ACT,2022,101,Capital Region,0.042,0.0406
1 NearACTNSW,Region near ACT,2023,101,Capital Region,0.0431,0.0414
1 NearACTNSW,Region near ACT,2024,101,Capital Region,0.0448,0.0414
1 NearACTNSW,Region near ACT,2025,101,Capital Region,0.0447,0.0416
1 NearACTNSW,Region near ACT,2026,101,Capital Region,0.046,0.0416
1 NearACTNSW,Region near ACT,2027,101,Capital Region,0.0466,0.0416
1 NearACTNSW,Region near ACT,2028,101,Capital Region,0.0472,0.0416
1 NearACTNSW,Region near ACT,2029,101,Capital Region,0.0478,0.0415
1 NearACTNSW,Region near ACT,2030,101,Capital Region,0.0483,0.0413
1 NearACTNSW,Region near ACT,2031,101,Capital Region,0.0488,0.0411
1 NearACTNSW,Region near ACT,2032,101,Capital Region,0.0492,0.0408
1 NearACTNSW,Region near ACT,2033,101,Capital Region,0.0495,0.0405
1 NearACTNSW,Region near ACT,2034,101,Capital Region,0.0499,0.0401
1 NearACTNSW,Region near ACT,2035,101,Capital Region,0.0501,0.0397
1 NearACTNSW,Region near ACT,2036,101,Capital Region,0.0503,0.0392
1 NearACTNSW,Region near ACT,2037,101,Capital Region,0.0505,0.0387
1 NearACTNSW,Region near ACT,2038,101,Capital Region,0.0506,0.0382
1 NearACTNSW,Region near ACT,2039,101,Capital Region,0.0507,0.0375
1 NearACTNSW,Region near ACT,2040,101,Capital Region,0.0508,0.0369
1 NearACTNSW,Region near ACT,2041,101,Capital Region,0.0508,0.0362
1 NearACTNSW,Region near ACT,2042,101,Capital Region,0.0508,0.0355
1 NearACTNSW,Region near ACT,2043,101,Capital Region,0.0507,0.0348
1 NearACTNSW,Region near ACT,2044,101,Capital Region,0.0506,0.034
1 NearACTNSW,Region near ACT,2045,101,Capital Region,0.0505,0.0332
1 NearACTNSW,Region near ACT,2046,101,Capital Region,0.0503,0.0324
1 NearACTNSW,Region near ACT,2047,101,Capital Region,0.0501,0.0315
1 NearACTNSW,Region near ACT,2048,101,Capital Region,0.0499,0.0307
1 NearACTNSW,Region near ACT,2049,101,Capital Region,0.0496,NA
1 NearACTNSW,Region near ACT,2050,101,Capital Region,0.0494,NA
1 NearACTNSW,Region near ACT,2051,101,Capital Region,0.0491,NA
2 CentCstNSW,Central Coast,2017,102,Central Coast,0.5778,0.6321
2 CentCstNSW,Central Coast,2018,102,Central Coast,0.5809,0.5723
2 CentCstNSW,Central Coast,2019,102,Central Coast,0.5873,0.5651
2 CentCstNSW,Central Coast,2020,102,Central Coast,0.6321,0.5673
2 CentCstNSW,Central Coast,2021,102,Central Coast,0.5862,0.5816
2 CentCstNSW,Central Coast,2022,102,Central Coast,0.5894,0.5694
2 CentCstNSW,Central Coast,2023,102,Central Coast,0.6052,0.5806
2 CentCstNSW,Central Coast,2024,102,Central Coast,0.6285,0.5819
2 CentCstNSW,Central Coast,2025,102,Central Coast,0.6282,0.5836
2 CentCstNSW,Central Coast,2026,102,Central Coast,0.6464,0.5844
2 CentCstNSW,Central Coast,2027,102,Central Coast,0.6545,0.5844
2 CentCstNSW,Central Coast,2028,102,Central Coast,0.6632,0.5837
2 CentCstNSW,Central Coast,2029,102,Central Coast,0.6711,0.5821
2 CentCstNSW,Central Coast,2030,102,Central Coast,0.6783,0.5799
